,name,id,artist,artist_id,release_date,popularity,explicit,duration_ms,danceability,enery,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,energy
0,Loving Is Easy,5EYi2rH4LYs6M21ZLOyQTx,"['Rex Orange County', 'Benny Sings']","['7pbDxGE6nQSZVfiFdq9lOL', '4gHcu2JoaXJ0mV4aNPCd7N']",2017-10-11,75,True,155720,0.756,,3,-7.927,1,0.0544,0.217,0.00474,0.096,0.537,117.023,audio_features,4,0.609
1,Napkins,37b1KAbfOZeBzeMB0LGO3g,RIZ LA VIE,0QkgnHpxSCOYdTnhUR9S5k,2018-02-23,56,False,215625,0.76,,0,-8.976,0,0.386,0.431,1.25e-06,0.106,0.66,144.15,audio_features,4,0.444
2,Red Eyes,71jGGLe5VtEHjIk5dU2W3S,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,2014-03-18,53,False,298920,0.464,,10,-6.371,1,0.0368,0.00871,0.201,0.162,0.467,161.845,audio_features,4,0.815
3,Only in the West,4A3yBa4C3Zy6UAGxIyv1XD,Yeek,5BhFZpE8kUGZJiKOsYjLQM,2017-02-13,0,False,181603,0.954,,7,-6.508,1,0.0724,0.07,0.0478,0.142,0.614,116.954,audio_features,4,0.535
4,Pretty Girl,4Pv7OY4tfCA8KIdtlkANOS,Clairo,3l0CmX0FuQjFxr8SK7Vqag,2017-08-04,0,False,178320,0.921,,0,-11.109,1,0.0502,0.506,0.00223,0.0617,0.693,112.117,audio_features,4,0.432
5,Dark Red,37y7iDayfwm3WXn5BiAoRk,Steve Lacy,57vWImR43h4CaDao012Ofp,2017-02-20,87,False,173104,0.603,,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,audio_features,4,0.783
6,Diddy Bop (feat. Cam O'bi & Raury),6JvfBzqZmSiEG5MjM7OcSY,"['Noname', ""Cam O'bi"", 'Raury']","['1EpyA68dKpjf7jXmQL88Hy', '4jqFe1fd5uul2XSSxsRvbZ', '2PU4qFehXQF7WnlFsJpBiJ']",2016-08-12,59,True,208000,0.637,,1,-6.927,1,0.336,0.713,0.000113,0.109,0.661,81.061,audio_features,4,0.503
7,Why Not Me,1gewwJHPkvysxLEGgOKQuB,"['Forrest.', 'Biskwiq']","['6chWbUfdu6ibyaCXM1w8kQ', '7J4Pg0NGyrWoMrROYhnlP6']",2018-07-01,58,False,195000,0.905,,7,-6.922,1,0.31,0.48,0.0,0.528,0.695,145.958,audio_features,4,0.721
8,Sunday,3Plhh6DXBtxPF59hxZVwBO,"['Forrest.', 'Biskwiq']","['6chWbUfdu6ibyaCXM1w8kQ', '7J4Pg0NGyrWoMrROYhnlP6']",2018-07-01,48,False,154681,0.838,,2,-5.235,1,0.382,0.149,1.86e-06,0.239,0.798,84.018,audio_features,4,0.7
9,Tired Boy,4SkTfsjWUy2rp40d2Ayfmv,Joey Pecoraro,44insiIQApkRaCMIbuaISJ,2017-02-22,52,False,255049,0.661,,4,-4.24,1,0.0413,0.616,0.856,0.0878,0.256,82.819,audio_features,4,0.391
10,Warm (feat. Mia),3kBofOTKMUZ62a311eUwvx,"[""Dre'es"", 'Mia']","['4pc5r183mYvIzGyFv2S0hO', '3rBgfuc7o2yOPkihLf7JAg']",2017-10-19,64,True,255465,0.662,,8,-14.525,1,0.0301,0.888,0.108,0.119,0.434,94.023,audio_features,4,0.297
11,B Cool (feat. Melanie Faye),6EErYXgsGBMkwpITHuKuCI,"['Magroove', 'Melanie Faye']","['2lQGcaLp3ezZpGB8YebPfW', '4pcfFC9isxezJyTwbV1nIp']",2017-06-24,48,False,199245,0.794,,8,-12.725,1,0.0523,0.559,0.694,0.0864,0.775,140.063,audio_features,4,0.368
12,Baby I'm Yours - feat. Irfrane,7oGwQOTkMB9Sk3DIKJLd5F,Breakbot,0iui2Be5CP8EWxvHYsVspL,2012-12-11,55,False,215786,0.831,,2,-3.701,0,0.0752,0.705,3.4e-05,0.0978,0.735,118.075,audio_features,4,0.794
13,Go With It (feat. Chromeo),1xF1lCDMp2uKfDm1J0nXVE,"['Oliver', 'Chromeo']","['0NDElNqwGRCmsYIQFapp6K', '2mV8aJphiSHYJf43DxL7Gt']",2017-08-25,47,False,232573,0.777,,8,-5.521,0,0.046,0.231,0.0268,0.0802,0.581,101.999,audio_features,4,0.76
14,Need You,0L0VMu7ovN7rmTtC8QQrqj,"['Flight Facilities', 'NÏKA']","['1lc8mnyGrCLtPhCoWjRxjM', '5H9Gv8Ld3MwtWDm832KCAo']",2018-02-28,0,False,200525,0.753,,8,-6.653,1,0.0345,0.262,0.00902,0.0928,0.388,117.995,audio_features,4,0.75
15,You,75ZoDBdTAO9e896PtMsbnG,Mk.gee,7tr9pbgNEKtG0GQTKe08Tz,2018-05-18,1,False,310597,0.809,,5,-6.67,1,0.297,0.524,0.00455,0.075,0.786,88.934,audio_features,4,0.656
16,Limestone,00HIh9mVUQQAycsQiciWsh,Magic City Hippies,1ikg4sypcURm8Vy5GP68xb,2015-07-24,42,False,209164,0.706,,4,-9.359,1,0.0383,0.282,0.00849,0.0614,0.723,78.014,audio_features,4,0.457
17,Only You,69ZGaXg5BV9HRxOgexbu6N,Steve Monite,0EEHriKw0Gzrmb2ZII2apY,2016-12-09,0,False,381040,0.786,,0,-6.842,1,0.101,0.0552,0.00181,0.0629,0.628,118.373,audio_features,4,0.921
18,Loving,2agURy6Jj70naGfDcrKkwY,Surfaces,4ETSs924pXMzjIeD6E9b4u,2017-12-03,46,False,253698,0.494,,9,-6.478,1,0.171,0.547,0.0,0.28,0.214,161.897,audio_features,4,0.587
19,Chronic Sunshine,2RGe02P8xxSF9syj0ltPjX,Cosmo Pyke,1RKG6WXRzmTJtbLRZTPU0T,2017-01-30,58,False,270926,0.431,,2,-5.002,1,0.0636,0.0264,0.0,0.348,0.504,111.387,audio_features,4,0.773
20,Does This Ski Mask Make Me Look Fat?,3RjZPlsPExqGxYEsBRi1oY,"['JPEGMAFIA', 'Heno.']","['6yJ6QQ3Y5l0s0tn7b0arrO', '3mr6jeVpPIXBp8IMMb60aD']",2018-03-02,48,True,267929,0.694,,10,-4.477,0,0.459,0.329,0.0559,0.136,0.117,183.985,audio_features,4,0.824
21,Bernal Heights,2LdbF40p7euLqEsaxpt70i,Duckwrth,6I3MElirhT5t6Kf7p0hGk9,2017-07-07,44,True,275874,0.846,,0,-5.624,1,0.107,0.0242,1.78e-06,0.106,0.599,87.0,audio_features,4,0.546
22,Summer Girl - Bonus Track,71J016NGpHvSmed7w63TzK,HAIM,4Ui2kfOqGujY81UcPrb5KE,2020-06-26,0,False,205026,0.514,,1,-7.96,0,0.224,0.35,0.0149,0.162,0.611,100.027,audio_features,4,0.545
23,Ferris Wheel,3Hs0xJpEOcJsWeayaLbeXR,Sylvan Esso,39vA9YljbnOApXKniLWBZv,2020-07-21,42,False,177920,0.836,,9,-4.77,0,0.057,0.0622,0.0034,0.121,0.445,101.986,audio_features,4,0.74
24,All Yours,76S0dx36oCAMgqfXlVUQeZ,APRE,16oEz0ihXl8elwxOS0YMNF,2018-05-25,49,False,173586,0.734,,5,-6.482,0,0.0283,0.172,0.0147,0.106,0.595,107.016,audio_features,4,0.783
25,Come Down,38Riz2Udz1Jvvz25Pj2VDh,APRE,16oEz0ihXl8elwxOS0YMNF,2019-11-05,39,False,246213,0.446,,7,-3.142,1,0.0601,0.0203,2.73e-06,0.14,0.526,175.979,audio_features,4,0.853
26,Jerk It Out,5XMjXjwCkJVmk0AHm7z8IV,Caesars,4rGrN4XDYhP6dUAZMvcuHr,2002,63,False,195666,0.58,,8,-2.603,0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,audio_features,4,0.981
27,Young Blood,25nzKGDiua1lE9Qo5V19GL,The Naked And Famous,0oeUpvxWsC8bWS6SnpU8b9,2010,67,False,246600,0.579,,6,-4.692,1,0.0302,5.63e-05,0.000221,0.649,0.358,104.99,audio_features,4,0.865
28,Feel It All Around,4V0x90QcMh4ZxwHzEWOdtK,Washed Out,5juOkIIy18sFw9L30syt1Z,2009-09-08,65,False,192080,0.34,,8,-4.681,1,0.0582,0.000105,0.762,0.0699,0.499,172.022,audio_features,4,0.737
29,Out of My League,2AYEOC02WLhUiOoaig2SEH,Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,2013-05-07,73,False,209386,0.545,,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,audio_features,4,0.968
30,Gooey,1rvwsCXRTiERpyTwzDBawG,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,2014-01-01,0,False,289306,0.49,,11,-13.422,0,0.0448,0.74,2.54e-05,0.0922,0.0794,183.043,audio_features,4,0.381
31,Passion,3yydZof4pq6N4zeyTzLwQk,"['RAC', 'Louis The Child']","['4AGwPDdh1y8hochNzHy5HC', '7wg1qvie3KqDNQbAkTdbX0']",2020-05-08,60,False,132746,0.777,,0,-6.951,1,0.071,0.476,0.0512,0.27,0.88,106.956,audio_features,4,0.721
32,Dance Yrself Clean,2cmRpmO04TLaKPzmAzySYZ,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,2010-05-17,62,False,536471,0.739,,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004,audio_features,4,0.611
33,Crimewave,3yQFmN8A5S8Kf1nUJuvb01,Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,2008-03-18,1,False,258453,0.746,,4,-7.533,0,0.0403,0.184,0.0259,0.205,0.888,119.982,audio_features,4,0.691
34,Two Weeks,0iTpQYzJnYgh7kIxyq8A2O,Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,2009-05-24,70,False,243160,0.537,,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,audio_features,4,0.712
35,Lover Chanting - Edit,0MmioQjVuzPwaL1HbTVqHE,Little Dragon,6Tyzp9KzpiZ04DABQoedps,2018-10-11,3,False,205464,0.865,,0,-7.444,1,0.0762,0.0166,0.795,0.0233,0.896,118.005,audio_features,4,0.762
36,The Less I Know The Better,4g3Ax56IslQkI6XVfYKVc5,Tame Impala,5INjqkS1o8h1imAzPqGZBb,2015-07-17,0,True,216318,0.64,,1,-4.077,0,0.0287,0.0138,0.0208,0.12,0.744,116.883,audio_features,4,0.755
37,Paint Me Silver,2HLQkvx1WUQgzSnhaulYlX,Pond,4skJp5OKvcc9eKokiuhi2s,2017-04-21,0,False,224973,0.335,,8,-5.551,1,0.052,0.00546,0.00246,0.204,0.661,177.491,audio_features,4,0.818
38,Time (You and I),2QoiyjegLQ3DWKBfFX9ihX,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,2020-04-27,40,False,342189,0.751,,11,-13.677,1,0.045,0.00945,0.149,0.0708,0.926,105.408,audio_features,4,0.491
39,Brainlesss,0jai4fAbqg1hI2JFQcupFy,dev soter,72o6x8c93sNk9FjARfRyCy,2021-01-27,34,False,119625,0.688,,7,-8.153,1,0.0341,0.118,1.5e-06,0.18,0.659,89.976,audio_features,4,0.576
40,Take Me Where Your Heart Is,62kHSw6wBh4c6UemJCb5p6,Q,22vqVhfPJab5kkU9txDGX3,2020-10-09,0,False,192647,0.858,,10,-8.879,0,0.0402,0.00586,0.761,0.0986,0.419,89.981,audio_features,4,0.426
41,Surfer Girl,5J3WFolhy4FRjlpsGtBkC1,Persona La Ave,2aE6UqkdSKchA6BgQXEwkj,2020-11-06,37,False,375876,0.435,,6,-4.697,0,0.0487,0.941,0.898,0.756,0.646,165.897,audio_features,4,0.729
42,Curious Alice,3DSiIBtYwtRWDZNa80RUJ0,Memorex Memories,4IDMgbEiCgt9G7PRN62mrV,2018-10-10,47,False,206158,0.383,,8,-17.868,1,0.0601,0.0951,0.892,0.115,0.293,170.034,audio_features,4,0.512
43,Floors,5YHMaDiaGGYs5QyJ2CBDXJ,"['Abhi The Nomad', 'Foster Cazz']","['1gUi2utSbJLNPddYENJAp4', '6i1Mxe8dCYvZnlY7pVWuYX']",2015-10-14,60,False,210340,0.613,,2,-7.003,1,0.0476,0.513,0.00105,0.268,0.32,131.962,audio_features,4,0.857
44,ON SOME HIGH,7kizsInsKbkwsJUBOncDuQ,SEBASTIAN PAUL,1tQu5TjcAK68fx8qrc8ZgF,2019-09-13,59,False,239120,0.411,,4,-9.628,1,0.0956,0.423,9.2e-06,0.28,0.259,113.664,audio_features,5,0.447
45,Funky Galileo,0TAHhMjG17P5pzlSm1sgSl,Sure Sure,1anAI9P9iSzc9qzLv6AtHZ,2020-03-06,60,False,246200,0.802,,10,-9.327,1,0.0466,0.164,0.162,0.156,0.648,110.995,audio_features,4,0.325
46,XOXO,1YzIe5I0UNPgPRPxYpe92f,Cherub,00dwwnz3V4kRfu3UFYpJLz,2013-10-11,49,True,291773,0.753,,3,-7.065,1,0.0527,0.0735,8.16e-05,0.612,0.364,124.0,audio_features,4,0.678
47,"10,000 Emerald Pools",2pA4ip3VIEVcIa3qE02oAX,BØRNS,1KP6TWI40m7p3QBTU6u2xo,2015-10-16,64,False,174693,0.568,,6,-5.589,1,0.0404,0.00694,0.000353,0.099,0.555,139.951,audio_features,4,0.578
48,Romeo (feat. Bas),2t9bMYh6ZJGfAZPKJGnby0,"['Jungle', 'Bas']","['59oA5WbbQvomJz2BuRG071', '70gP6Ry4Uo0Yx6uzPIdaiJ']",2021-08-13,59,True,166200,0.752,,3,-6.535,0,0.0852,0.246,0.0,0.36,0.733,95.014,audio_features,4,0.636
49,Animal,6vSq5q5DCs1IvwKIq53hj2,Miike Snow,4l1cKWYW591xnwEGxpUg3J,2009-01-01,61,False,263426,0.774,,6,-6.662,0,0.0773,0.0126,6.49e-06,0.0952,0.654,118.048,audio_features,4,0.721
50,Fanfare,2WQzsRjsNuQz8KGEXNcJCU,Magic City Hippies,1ikg4sypcURm8Vy5GP68xb,2015-07-24,43,False,264000,0.585,,6,-9.075,1,0.0538,0.0124,0.0164,0.135,0.725,80.021,audio_features,4,0.62
51,Confidence,7to68V64Cu6zk0UDo5tyw3,Ocean Alley,18lpwfiys4GtdHWNUu9qQr,2018-03-09,64,False,253076,0.59,,11,-9.607,0,0.0505,0.0637,0.0,0.105,0.561,140.835,audio_features,4,0.562
52,Outside,0YCCXfwkqezFE8sjRoaKmi,Oliver Malcolm,5ut4VhaCRPsEjAZ93jpPfK,2020-10-01,43,False,138000,0.754,,6,-9.741,0,0.0787,0.769,0.0,0.504,0.638,76.798,audio_features,4,0.388
53,Dog Has Its Day,0EXdNsNOxZH1TLzBYUgY55,TOLEDO,2xK3hBpuuHSxmHr96TzgDO,2021-01-12,0,False,190955,0.505,,11,-9.943,1,0.031,0.229,0.792,0.359,0.772,77.298,audio_features,4,0.489
54,High Hopes (feat. Omar Apollo),5dl8x4xLEzZC0f927WBTUG,"['Joji', 'Omar Apollo']","['3MZsBdqDrRTJihTHQrO6Dq', '5FxD8fkQZ6KcsSYupDVoSO']",2020-09-25,62,True,182400,0.719,,1,-9.12,0,0.193,0.472,0.0572,0.102,0.364,150.076,audio_features,4,0.369
55,Come Over,0DCMAJv05vTjQyMbCr2495,Knox Fortune,49O0SPoCoTiK2Nn2tOaHyU,2020-10-30,39,False,192667,0.335,,11,-5.931,1,0.0359,0.139,0.0455,0.147,0.464,86.197,audio_features,4,0.697
56,i might like u,2DI4mFhCkWoVK5fyLv9q4v,Boon,4XbfLvylNCfSXNvV2O8aP7,2020-11-20,43,False,135704,0.748,,10,-7.399,1,0.423,0.543,0.0,0.401,0.841,154.015,audio_features,4,0.529
57,Rise,1y5cs2YiO2dBsoh5xzZxnF,Lido,1aSwrSGBNGMLn9ymttfRkk,2020-09-18,37,False,238800,0.472,,1,-8.786,1,0.074,0.675,0.137,0.12,0.393,113.319,audio_features,5,0.553
